section,runtime_id,ar,en,ur,tr,ug
flat,openWs,افتح الورقة ▾,Open worksheet ▾,ورک شیٹ کھولیں ▾,Çalışma sayfasını aç ▾,ۋاراقچىنى ئېچىڭ ▾
flat,closeWs,▲ إغلاق,▲ Close,▲ بند کریں,▲ Kapat,▲ يېپىڭ
flat,resetWs,تفريغ الإجابات,Clear answers,جوابات صاف کریں,Cevapları temizle,جاۋابلارنى تازىلاڭ
flat,printWs,🖨️ طباعة الورقة,🖨️ Print worksheet,🖨️ ورک شیٹ پرنٹ کریں,🖨️ Çalışma sayfasını yazdır,🖨️ ۋاراقچىنى بېسىپ چىقىرىڭ
flat,lvlLegendLabel,مستويات الأسئلة:,Question levels:,سوالات کے درجات:,Soru seviyeleri:,سوئال دەرىجىلىرى:
flat,listenWs,🔊 استماع للتلاوة,🔊 Listen to recitation,🔊 تلاوت سنیں,🔊 Tilaveti dinle,🔊 تىلاۋەتنى ئاڭلاڭ
flat,closeWsFull,▲ إغلاق الورقة,▲ Close worksheet,▲ ورک شیٹ بند کریں,▲ Çalışma sayfasını kapat,▲ ۋاراقچىنى يېپىڭ
flat,gateTitle,🔒 صفحة المدير,🔒 Admin page,🔒 ایڈمن صفحہ,🔒 Yönetici sayfası,🔒 باشقۇرغۇچى بېتى
flat,gateDesc,هذه الصفحة للمعلّم — أدخل كلمة المرور للمتابعة,This page is for the teacher — enter the password to continue,یہ صفحہ استاد کے لیے ہے — جاری رکھنے کے لیے پاس ورڈ درج کریں,Bu sayfa öğretmen içindir — devam etmek için şifreyi girin,بۇ بەت ئوقۇتقۇچى ئۈچۈن — داۋاملاشتۇرۇش ئۈچۈن پارولنى كىرگۈزۈڭ
flat,gatePassPh,كلمة المرور,Password,پاس ورڈ,Şifre,پارول
flat,gateEnter,دخول,Enter,داخل ہوں,Giriş,كىرىش
flat,gateCancel,إلغاء,Cancel,منسوخ کریں,İptal,بىكار قىلىش
flat,adminTitle,🛠️ صفحة المدير,🛠️ Admin page,🛠️ ایڈمن صفحہ,🛠️ Yönetici sayfası,🛠️ باشقۇرغۇچى بېتى
flat,adminClose,✕ إغلاق,✕ Close,✕ بند کریں,✕ Kapat,✕ يېپىڭ
flat,adminStep1,إضافة سورة أو آية,Add a surah or ayah,سورت یا آیت شامل کریں,Sure veya ayet ekle,سۈرە ياكى ئايەت قوشۇڭ
flat,adminStep2,إضافة الأسئلة,Add questions,سوالات شامل کریں,Soru ekle,سوئال قوشۇڭ
flat,revealModel,إظهار الإجابة النموذجية,Show model answer,نمونہ جواب دکھائیں,Örnek cevabı göster,ئۈلگە جاۋابنى كۆرسىتىڭ
flat,revealCorrect,إظهار الإجابة الصحيحة,Show correct answer,درست جواب دکھائیں,Doğru cevabı göster,توغرا جاۋابنى كۆرسىتىڭ
flat,answerPrefix,الإجابة: ,Answer: ,جواب: ,Cevap: ,جاۋاب: 
flat,openWsToggle,افتح الورقة ▾,Open worksheet ▾,ورک شیٹ کھولیں ▾,Çalışma sayfasını aç ▾,ۋاراقچىنى ئېچىڭ ▾
flat,closeWsToggle,إغلاق الورقة ▴,▲ Close worksheet,▲ ورک شیٹ بند کریں,▲ Çalışma sayfasını kapat,▲ ۋاراقچىنى يېپىڭ
flat,surahWord,سورة,Surah,سورۃ,Sure,سۈرە
flat,segPh,اكتب الحروف — تُفصَل بـ + تلقائيًا,Type the letters — separated by + automatically,حروف لکھیں — خودکار طور پر + سے الگ ہوں گے,Harfleri yazın — otomatik olarak + ile ayrılır,ھەرپلەرنى يېزىڭ — ئاپتوماتىك + بىلەن ئايرىلىدۇ
flat,numPh,اكتب العدد...,Type the number...,عدد لکھیں...,Sayıyı yazın...,ساننى يېزىڭ...
flat,textPh,اكتب إجابتك...,Type your answer...,اپنا جواب لکھیں...,Cevabınızı yazın...,جاۋابىڭىزنى يېزىڭ...
flat,checkDone,تم التحويط على الورقة ✓,Done on the paper ✓,کاغذ پر مکمل ✓,Kağıtta tamamlandı ✓,قەغەزدە تاماملاندى ✓
flat,scoreCorrect,صحيح: {},Correct: {},درست: {},Doğru: {},توغرا: {}
flat,scoreWrong, — خطأ: {}, — Wrong: {}, — غلط: {}, — Yanlış: {}, — خاتا: {}
flat,drawPh,صف رسمتك هنا... (أو ارسم على الورقة المطبوعة),Describe your drawing here... (or draw on the printed page),اپنی تصویر یہاں بیان کریں... (یا چھپی ہوئی ورق پر بنائیں),Çizimini burada tarif et... (veya baskı sayfasına çiz),رەسىمىڭىزنى بۇ يەردە چۈشەندۈرۈڭ... (ياكى بېسىلغان ۋاراقتا سىزىڭ)
flat,drawBox,✏️ مساحة الرسم — على النسخة المطبوعة,✏️ Drawing space — on the printed copy,✏️ ڈرائنگ کی جگہ — چھپی ہوئی کاپی پر,✏️ Çizim alanı — basılı kopyada,✏️ سىزىش بوشلۇقى — بېسىلغان نۇسخىدا
tpl,t1vkulgc,كلمة بها حرف ({}),A word containing the letter ({}),حرف ({}) والا لفظ,({}) harfini içeren bir kelime,({}) ھەرپىنى ئۆز ئىچىگە ئالغان سۆز
tpl,tdzb3f3,استخرج ({}),Find ({}),({}) تلاش کریں,({}) bul,({}) نى تېپىڭ
tpl,tzrpsyp,كلمة بها ({}),A word with ({}),({}) والا لفظ,({}) içeren bir kelime,({}) بار سۆز
tpl,tq1ivwh,حروف كلمة ({}) =,Letters in the word ({}) =,لفظ ({}) کے حروف =,({}) kelimesinin harfleri =,({}) سۆزىنىڭ ھەرپلىرى =
tpl,tmlme6c,انسخ: ({}),Copy: ({}),نقل کریں: ({}),Kopyala: ({}),كۆچۈرۈڭ: ({})
tpl,t1nj7u98,ما معنى ({})؟,What does ({}) mean?,({}) کا کیا مطلب ہے؟,({}) ne anlama gelir?,({}) نىڭ مەنىسى نېمە؟
tpl,t1wl171o,تكرار حرف ({}) =,How many times does the letter ({}) repeat =,حرف ({}) کتنی بار آیا =,({}) harfi kaç kez tekrarlanıyor =,({}) ھەرپى قانچە قېتىم تەكرارلانغان =
tpl,tx4ch96,تكرار كلمة ({}) =,How many times does the word ({}) repeat =,لفظ ({}) کتنی بار آیا =,({}) kelimesi kaç kez tekrarlanıyor =,({}) سۆزى قانچە قېتىم تەكرارلانغان =
tpl,tl7zh0q,حوّط كلمة ({}),Circle the word ({}),لفظ ({}) پر دائرہ لگائیں,({}) kelimesini daire içine al,({}) سۆزىگە دائىرە سىزىڭ
tpl,tfyvwc2,كلمة تبدأ بحرف ({}),A word starting with the letter ({}),حرف ({}) سے شروع ہونے والا لفظ,({}) harfiyle başlayan bir kelime,({}) ھەرپى بىلەن باشلانغان سۆز
tpl,t13mak43,ادمج ({}) ←,Combine ({}) ←,ملائیں ({}) ←,Birleştir ({}) ←,بىرلەشتۈرۈڭ ({}) ←
tpl,twpicef,تكرار حرف ({}) في السورة =,How many times does the letter ({}) repeat in the surah =,سورت میں حرف ({}) کتنی بار آیا =,Surede ({}) harfi kaç kez tekrarlanıyor =,سۈرىدە ({}) ھەرپى قانچە قېتىم تەكرارلانغان =
tpl,t18pf4td,أول حرف في ({}):,First letter in ({}):,({}) کا پہلا حرف:,({}) içindeki ilk harf:,({}) دىكى بىرىنچى ھەرپ:
tpl,t1lb18z7,آخر حرف في ({}):,Last letter in ({}):,({}) کا آخری حرف:,({}) içindeki son harf:,({}) دىكى ئاخىرقى ھەرپ:
tpl,t11ft2kr,وصل ({}) ←,Match ({}) ←,جوڑیں ({}) ←,Eşleştir ({}) ←,ماسلاشتۇرۇڭ ({}) ←
tpl,tdo2h2b,ادمج ({}),Combine ({}),ملائیں ({}),Birleştir ({}),بىرلەشتۈرۈڭ ({})
tpl,t1tbge5t,عدد النقاط في كلمة ({}) =,Number of dots in the word ({}) =,لفظ ({}) میں نقطوں کی تعداد =,({}) kelimesindeki nokta sayısı =,({}) سۆزىدىكى چېكىت سانى =
tpl,t10hdm6h,مضاد ({}) ←,Opposite of ({}) ←,({}) کا متضاد ←,({}) kelimesinin zıttı ←,({}) نىڭ زىت مەنىسى ←
tpl,tz6hsyd,استخرج ({}):,Find ({}):,({}) تلاش کریں:,({}) bul:,({}) نى تېپىڭ:
tpl,thqtrnt,جمع كلمة ({}) ←,Plural of the word ({}) ←,لفظ ({}) کی جمع ←,({}) kelimesinin çoğulu ←,({}) سۆزىنىڭ كۆپلۈكى ←
tpl,t155jewq,إملاء: ({}),Dictation: ({}),املا: ({}),Dikte: ({}),ئىملا: ({})
tpl,t13xf84w,سؤال رقم ({}) هو؟,What is question number ({})?,سوال نمبر ({}) کیا ہے؟,({}) numaralı soru nedir?,({})-سوئال نېمە؟
tpl,t1hnglnv,رتب: ({}),Put in order: ({}),ترتیب دیں: ({}),Sırala: ({}),تەرتىپلەڭ: ({})
tpl,t8hheck,تحليل كلمة ({}),Analyze the word ({}),لفظ ({}) کا تجزیہ,({}) kelimesini analiz et,({}) سۆزىنى تەھلىل قىلىڭ
tpl,t5ou5fl,كلمة بها حرف ({}) =,A word containing the letter ({}) =,حرف ({}) والا لفظ =,({}) harfini içeren bir kelime =,({}) ھەرپىنى ئۆز ئىچىگە ئالغان سۆز =
tpl,t1scztgh,معنى ({}) ←,Meaning of ({}) ←,({}) کا معنی ←,({}) kelimesinin anlamı ←,({}) نىڭ مەنىسى ←
tpl,tf469qa,ارسم ({}),Draw ({}),({}) بنائیں,({}) çiz,({}) نى سىزىڭ
tpl,t13maqri,ادمج ({}) =,Combine ({}) =,ملائیں ({}) =,Birleştir ({}) =,بىرلەشتۈرۈڭ ({}) =
tpl,t15161qu,كلمة بها مد ({}) =,A word with an elongation (madd) of ({}) =,({}) کی مد والا لفظ =,({}) uzatmasını (medd) içeren bir kelime =,({}) سوزۇلمىسى بار سۆز =
tpl,t17wuo8r,كلمة بها ({}):,A word with ({}):,({}) والا لفظ:,({}) içeren bir kelime:,({}) بار سۆز:
tpl,t165kpoi,حوّط كلمة ({}) بالسورة,Circle the word ({}) in the surah,سورت میں لفظ ({}) پر دائرہ لگائیں,Surede ({}) kelimesini daire içine al,سۈرىدە ({}) سۆزىگە دائىرە سىزىڭ
tpl,t1mrfpwv,كلمة تبدأ بحرف ({}) =,A word starting with the letter ({}) =,حرف ({}) سے شروع ہونے والا لفظ =,({}) harfiyle başlayan bir kelime =,({}) ھەرپى بىلەن باشلانغان سۆز =
tpl,t38p4br,نوع الـ في ({}):,"Type of ""al-"" in ({}):","({}) میں ""ال"" کی قسم:","({}) içindeki ""el-"" takısının türü:",({}) دىكى «ئەل» نىڭ تۈرى:
tpl,t1wry02y,كلمة تنتهي بـ ({}),A word ending with ({}),({}) پر ختم ہونے والا لفظ,({}) ile biten bir kelime,({}) بىلەن ئاياغلاشقان سۆز
tpl,tf4ne22,الكلمة رقم ({}) في السورة =,Word number ({}) in the surah =,سورت میں لفظ نمبر ({}) =,Suredeki ({}) numaralı kelime =,سۈرىدىكى ({})-سۆز =
tpl,t1uxlzku,تحليل كلمة ({}):,Analyze the word ({}):,لفظ ({}) کا تجزیہ:,({}) kelimesini analiz et:,({}) سۆزىنى تەھلىل قىلىڭ:
tpl,t10hdfz8,مضاد ({}) =,Opposite of ({}) =,({}) کا متضاد =,({}) kelimesinin zıttı =,({}) نىڭ زىت مەنىسى =
tpl,toginpu,استخرج ({}) =,Find ({}) =,({}) تلاش کریں =,({}) bul =,({}) نى تېپىڭ =
tpl,t1trijht,رتب: ({}):,Put in order: ({}):,ترتیب دیں: ({}):,Sırala: ({}):,تەرتىپلەڭ: ({}):
tpl,tngyvfa,كلمات تبدأ بـ ({}) =,Words starting with ({}) =,({}) سے شروع ہونے والے الفاظ =,({}) ile başlayan kelimeler =,({}) بىلەن باشلانغان سۆزلەر =
tpl,t16e2a8h,معنى ({}),Meaning of ({}),({}) کا معنی,({}) kelimesinin anlamı,({}) نىڭ مەنىسى
tpl,tsq9s5j,تكرار كلمة ({}),Repetition of the word ({}),لفظ ({}) کی تکرار,({}) kelimesinin tekrarı,({}) سۆزىنىڭ تەكرارلىنىشى
tpl,t1d3xt87,كلمة تنتهي بحرف ({}),A word ending with the letter ({}),حرف ({}) پر ختم ہونے والا لفظ,({}) harfiyle biten bir kelime,({}) ھەرپى بىلەن ئاياغلاشقان سۆز
tpl,t1va26s0,ما هو ({})؟,What is ({})?,({}) کیا ہے؟,({}) nedir?,({}) نېمە؟
tpl,t1cpxj9v,كلمات تنتهي بـ ({}) =,Words ending with ({}) =,({}) پر ختم ہونے والے الفاظ =,({}) ile biten kelimeler =,({}) بىلەن ئاياغلاشقان سۆزلەر =
tpl,t5loqs3,عدد حروف ({}) =,Number of letters in ({}) =,({}) کے حروف کی تعداد =,({}) kelimesindeki harf sayısı =,({}) نىڭ ھەرپ سانى =
tpl,tdl8i6d,تكرار حرف ({}) في الآية =,How many times does the letter ({}) repeat in the ayah =,آیت میں حرف ({}) کتنی بار آیا =,Ayette ({}) harfi kaç kez tekrarlanıyor =,ئايەتتە ({}) ھەرپى قانچە قېتىم تەكرارلانغان =
tpl,tm933dt,تكرار حرف ({}) في الآيات =,How many times does the letter ({}) repeat in the ayat =,آیات میں حرف ({}) کتنی بار آیا =,Ayetlerde ({}) harfi kaç kez tekrarlanıyor =,ئايەتلەردە ({}) ھەرپى قانچە قېتىم تەكرارلانغان =
tpl,t3grwwc,الكلمة رقم ({}) في الآيات =,Word number ({}) in the ayat =,آیات میں لفظ نمبر ({}) =,Ayetlerdeki ({}) numaralı kelime =,ئايەتلەردىكى ({})-سۆز =
tpl,tcy65yj,كلمة بها ({}) التعريف,A word with ({}) — the definite article,({}) والا لفظ — تعریف,({}) içeren bir kelime — tanım,({}) بار سۆز — تەرىپ
tpl,ttrg96w,كلمة تبدأ بحرف ({}):,A word starting with the letter ({}):,حرف ({}) سے شروع ہونے والا لفظ:,({}) harfiyle başlayan bir kelime:,({}) ھەرپى بىلەن باشلانغان سۆز:
tpl,tlmf2wt,نوع الـ في ({}),"Type of ""al-"" in ({})","({}) میں ""ال"" کی قسم","({}) içindeki ""el-"" takısının türü",({}) دىكى «ئەل» نىڭ تۈرى
tpl,t1nmos3z,تحليل ({}),Analyze ({}),({}) کا تجزیہ,({}) analiz et,({}) نى تەھلىل قىلىڭ
tpl,t1d0spkm,ما عكس ({})؟,What is the opposite of ({})?,({}) کا الٹ کیا ہے؟,({}) kelimesinin tersi nedir?,({}) نىڭ ئەكسى نېمە؟
tpl,t1havs4f,تكرار حرف ({}) بآخر الآيات =,How many times does the letter ({}) repeat at the end of the ayat =,آیات کے آخر میں حرف ({}) کتنی بار آیا =,Ayetlerin sonunda ({}) harfi kaç kez tekrarlanıyor =,ئايەتلەرنىڭ ئاخىرىدا ({}) ھەرپى قانچە قېتىم تەكرارلانغان =
tpl,t1xd4m5z,قراءة بطلاقة 3 مرات ✓,Read fluently 3 times ✓,3 بار روانی سے پڑھیں ✓,Akıcı bir şekilde 3 kez oku ✓,راۋان ھالدا 3 قېتىم ئوقۇڭ ✓
tpl,t1pv034p,ما اسم هذه السورة؟,What is the name of this surah?,اس سورت کا نام کیا ہے؟,Bu surenin adı nedir?,بۇ سۈرىنىڭ ئىسمى نېمە؟
tpl,t1wegk76,آخر كلمة في السورة:,Last word in the surah:,سورت کا آخری لفظ:,Suredeki son kelime:,سۈرىدىكى ئاخىرقى سۆز:
tpl,t1f1d9xq,عدد كلمات السورة =,Number of words in the surah =,سورت کے الفاظ کی تعداد =,Suredeki kelime sayısı =,سۈرىدىكى سۆز سانى =
tpl,t1y9vfsj,ردد السورة غيبًا ✓,Recite the surah from memory ✓,سورت زبانی دہرائیں ✓,Sureyi ezberden tekrarla ✓,سۈرىنى يادلاپ تەكرارلاڭ ✓
tpl,tyfguo6,عدد آيات السورة؟,Number of ayat in the surah?,سورت کی آیات کی تعداد؟,Suredeki ayet sayısı?,سۈرىدىكى ئايەت سانى؟
tpl,tx48116,رقم السورة في المصحف =,The surah's number in the Mushaf =,مصحف میں سورت کا نمبر =,Mushaf'taki sure numarası =,مۇسھەپتىكى سۈرە نومۇرى =
tpl,trd21px,أول كلمة في السورة؟,First word in the surah?,سورت کا پہلا لفظ؟,Suredeki ilk kelime?,سۈرىدىكى بىرىنچى سۆز؟
tpl,t1tecvwr,اسم السورة؟,Name of the surah?,سورت کا نام؟,Surenin adı?,سۈرىنىڭ ئىسمى؟
tpl,t1shx89g,عدد حروف السورة =,Number of letters in the surah =,سورت کے حروف کی تعداد =,Suredeki harf sayısı =,سۈرىدىكى ھەرپ سانى =
tpl,t2fgz0s,استمع إلى تلاوة السورة من قارئ متقن، وقارنها بقراءتك ✓,"Listen to a skilled reciter recite the surah, and compare it with your own recitation ✓",کسی ماہر قاری سے سورت کی تلاوت سنیں اور اپنی قراءت سے موازنہ کریں ✓,Sureyi usta bir kâriden dinle ve kendi okuyuşunla karşılaştır ✓,ماھىر قارىدىن سۈرىنىڭ تىلاۋىتىنى ئاڭلاڭ ۋە ئۆز ئوقۇشىڭىز بىلەن سېلىشتۇرۇڭ ✓
tpl,t19mdik,عدد كلمات الآية =,Number of words in the ayah =,آیت کے الفاظ کی تعداد =,Ayetteki kelime sayısı =,ئايەتتىكى سۆز سانى =
tpl,ttp7fch,ردد الآية غيبًا ✓,Recite the ayah from memory ✓,آیت زبانی دہرائیں ✓,Ayeti ezberden tekrarla ✓,ئايەتنى يادلاپ تەكرارلاڭ ✓
tpl,ttr96pa,استمع إلى تلاوة الآية من قارئ متقن، وقارنها بقراءتك ✓,"Listen to a skilled reciter recite the ayah, and compare it with your own recitation ✓",کسی ماہر قاری سے آیت کی تلاوت سنیں اور اپنی قراءت سے موازنہ کریں ✓,Ayeti usta bir kâriden dinle ve kendi okuyuşunla karşılaştır ✓,ماھىر قارىدىن ئايەتنىڭ تىلاۋىتىنى ئاڭلاڭ ۋە ئۆز ئوقۇشىڭىز بىلەن سېلىشتۇرۇڭ ✓
tpl,t1fcqtg1,خاتمة الآية بكلمة:,The ayah ends with the word:,آیت کس لفظ پر ختم ہوتی ہے:,Ayet hangi kelimeyle bitiyor:,ئايەت قايسى سۆز بىلەن ئاياغلىشىدۇ:
tpl,t1xxn4tq,رقم الآية؟,Ayah number?,آیت نمبر؟,Ayet numarası?,ئايەت نومۇرى؟
tpl,t1mk8d2b,اطلب من أحد والديك الاستماع إلى قراءتك لهذه السورة ✓,Ask one of your parents to listen to your recitation of this surah ✓,اپنے والدین میں سے کسی ایک سے اس سورت کی اپنی قراءت سننے کو کہیں ✓,Anne babandan birinden bu sureyi okuyuşunu dinlemesini iste ✓,ئاتا-ئاناڭىزدىن بىرىدىن بۇ سۈرىنى ئوقۇشىڭىزنى ئاڭلاشنى تەلەپ قىلىڭ ✓
tpl,tfiqinl,آخر حرف في الآية =,Last letter in the ayah =,آیت کا آخری حرف =,Ayetteki son harf =,ئايەتتىكى ئاخىرقى ھەرپ =
tpl,tntyluj,أول كلمة:,First word:,پہلا لفظ:,İlk kelime:,بىرىنچى سۆز:
tpl,t1mx5t8p,آخر كلمة:,Last word:,آخری لفظ:,Son kelime:,ئاخىرقى سۆز:
tpl,t1bchul6,اكتب خاتمة السورة بخط جميل,Write the surah's closing in neat handwriting,سورت کا اختتام خوبصورت خط میں لکھیں,Surenin sonunu güzel bir yazıyla yaz,سۈرىنىڭ ئاخىرىنى چىرايلىق خەت بىلەن يېزىڭ
tpl,tnochyr,لخّص السورة بجملة واحدة من عندك,Summarize the surah in one sentence of your own,سورت کا خلاصہ اپنے ایک جملے میں کریں,Sureyi kendi cümlenle tek cümlede özetle,سۈرىنى ئۆز جۈملىڭىز بىلەن بىر جۈملىدە خۇلاسىلەڭ
tpl,t1k0jb72,اذكر أهم فائدة استفدتها من هذه السورة,Mention the most important benefit you gained from this surah,اس سورت سے حاصل ہونے والا سب سے اہم فائدہ بتائیں,Bu sureden edindiğin en önemli faydayı belirt,بۇ سۈرىدىن ئالغان ئەڭ مۇھىم پايدىنى ئېيتىڭ
tpl,t15st3ag,عدد كلمات الآيات =,Number of words in the ayat =,آیات کے الفاظ کی تعداد =,Ayetlerdeki kelime sayısı =,ئايەتلەردىكى سۆز سانى =
tpl,t1cgf02,عدد حروف الآيات =,Number of letters in the ayat =,آیات کے حروف کی تعداد =,Ayetlerdeki harf sayısı =,ئايەتلەردىكى ھەرپ سانى =
tpl,trppn6b,أول كلمة في الآيات؟,First word in the ayat?,آیات کا پہلا لفظ؟,Ayetlerdeki ilk kelime?,ئايەتلەردىكى بىرىنچى سۆز؟
tpl,t1w5xl2c,آخر كلمة في الآيات:,Last word in the ayat:,آیات کا آخری لفظ:,Ayetlerdeki son kelime:,ئايەتلەردىكى ئاخىرقى سۆز:
tpl,tcbvbph,من أي سورة هذه الآيات؟,Which surah are these ayat from?,یہ آیات کس سورت سے ہیں؟,Bu ayetler hangi sureden?,بۇ ئايەتلەر قايسى سۈرىدىن؟
tpl,tj0lok5,ردد الآيات غيبًا ✓,Recite the ayat from memory ✓,آیات زبانی دہرائیں ✓,Ayetleri ezberden tekrarla ✓,ئايەتلەرنى يادلاپ تەكرارلاڭ ✓
tpl,t1htpxzl,ما رقم أول آية في هذا المقطع؟,What is the number of the first ayah in this passage?,اس حصے کی پہلی آیت کا نمبر کیا ہے؟,Bu bölümdeki ilk ayetin numarası nedir?,بۇ بۆلەكتىكى بىرىنچى ئايەتنىڭ نومۇرى نېمە؟
tpl,t1b7z5dz,اكتب خاتمة القصة بخط جميل,Write the story's ending in neat handwriting,قصے کا اختتام خوبصورت خط میں لکھیں,Kıssanın sonunu güzel bir yazıyla yaz,قىسسىنىڭ ئاخىرىنى چىرايلىق خەت بىلەن يېزىڭ
tpl,t1bm8cfi,لخّص القصة بجملة واحدة من عندك,Summarize the story in one sentence of your own,قصے کا خلاصہ اپنے ایک جملے میں کریں,Kıssayı kendi cümlenle tek cümlede özetle,قىسسىنى ئۆز جۈملىڭىز بىلەن بىر جۈملىدە خۇلاسىلەڭ
tpl,t3ulz83,اذكر أهم فائدة استفدتها من هذه القصة,Mention the most important benefit you gained from this story,اس قصے سے حاصل ہونے والا سب سے اہم فائدہ بتائیں,Bu kıssadan edindiğin en önemli faydayı belirt,بۇ قىسسىدىن ئالغان ئەڭ مۇھىم پايدىنى ئېيتىڭ
tpl,t1ypq8pw,عدد آيات السورة =,Number of ayat in the surah =,سورت کی آیات کی تعداد =,Suredeki ayet sayısı =,سۈرىدىكى ئايەت سانى =
tpl,tezlj1v,كلمة بها تنوين =,A word with tanwin =,تنوین والا لفظ =,Tenvin içeren bir kelime =,تەنۋىن بار سۆز =
tpl,t1hq2w1s,آخر كلمة في الآية:,Last word in the ayah:,آیت کا آخری لفظ:,Ayetteki son kelime:,ئايەتتىكى ئاخىرقى سۆز:
tpl,t1hcty,عدد حروف الآية =,Number of letters in the ayah =,آیت کے حروف کی تعداد =,Ayetteki harf sayısı =,ئايەتتىكى ھەرپ سانى =
tpl,tn322is,اسم السورة السابقة لها,Name of the surah before it,اس سے پہلی سورت کا نام,Ondan önceki surenin adı,ئۇنىڭدىن بۇرۇنقى سۈرىنىڭ ئىسمى
tpl,t14i6iyh,اسم السورة التالية لها,Name of the surah after it,اس کے بعد والی سورت کا نام,Ondan sonraki surenin adı,ئۇنىڭدىن كېيىنكى سۈرىنىڭ ئىسمى
tpl,tu87yn7,عدد كلمات الآيتين =,Number of words in the two ayat =,دونوں آیات کے الفاظ کی تعداد =,İki ayetteki kelime sayısı =,ئىككى ئايەتتىكى سۆز سانى =
tpl,tqx1b4r,{} سؤالًا,{} questions,{} سوالات,{} soru,{} سوئال
